car_ID,Make,region,Model,carbody,wheelbase,curbweight,eng_sz,hp,hwy_mpg,price
1,alfa,euro,giulia,conv,89,2548,130,111,27,13495
2,alfa,euro,stelvio,conv,89,2548,130,111,27,16500
3,alfa,euro,Quadrifoglio,hatch,95,2823,152,154,26,16500
4,audi,euro,100,sedan,100,2337,109,102,30,13950
5,audi,euro,100ls,sedan,99,2824,136,115,22,17450
6,audi,euro,fox,sedan,100,2507,136,110,25,15250
7,audi,euro,100ls,sedan,106,2844,136,110,25,17710
8,audi,euro,5000,wagon,106,2954,136,110,25,18920
9,audi,euro,4000,sedan,106,3086,131,140,20,23875
10,audi,euro,5000s,hatch,100,3053,131,160,22,17859
11,bmw,euro,320i,sedan,101,2395,108,101,29,16430
12,bmw,euro,320i,sedan,101,2395,108,101,29,16925
13,bmw,euro,x1,sedan,101,2710,164,121,28,20970
14,bmw,euro,x3,sedan,101,2765,164,121,28,21105
15,bmw,euro,z4,sedan,104,3055,164,121,25,24565
16,bmw,euro,x4,sedan,104,3230,209,182,22,30760
17,bmw,euro,x5,sedan,104,3380,209,182,22,41315
18,bmw,euro,x3,sedan,110,3505,209,182,20,36880
19,chevy,amer,impala,hatch,88,1488,61,48,53,5151
20,chevy,amer,monte,hatch,95,1874,90,70,43,6295
21,chevy,amer,vega,sedan,95,1909,90,70,43,6575
22,dodge,amer,rampage,hatch,94,1876,90,68,41,5572
23,dodge,amer,challenger,hatch,94,1876,90,68,38,6377
24,dodge,amer,d200,hatch,94,2128,98,102,30,7957
25,dodge,amer,monaco,hatch,94,1967,90,68,38,6229
26,dodge,amer,colt,sedan,94,1989,90,68,38,6692
27,dodge,amer,colt,sedan,94,1989,90,68,38,7609
28,dodge,amer,coronet,sedan,94,2191,98,102,30,8558
29,dodge,amer,dart,wagon,103,2535,122,88,30,8921
30,dodge,amer,coronet,hatch,96,2811,156,145,24,12964
31,honda,asia,civic,hatch,87,1713,92,58,54,6479
32,honda,asia,civic,hatch,87,1819,92,76,38,6855
33,honda,asia,civic,hatch,94,1837,79,60,42,5399
34,honda,asia,accord,hatch,94,1940,92,76,34,6529
35,honda,asia,civic,hatch,94,1956,92,76,34,7129
36,honda,asia,accord,sedan,97,2010,92,76,34,7295
37,honda,asia,civic,wagon,97,2024,92,76,34,7295
38,honda,asia,accord,hatch,97,2236,110,86,33,7895
39,honda,asia,civic,hatch,97,2289,110,86,33,9095
40,honda,asia,prelude,sedan,97,2304,110,86,33,8845
41,honda,asia,accord,sedan,97,2372,110,86,33,10295
42,honda,asia,civic,sedan,97,2465,110,101,28,12945
43,honda,asia,civic,sedan,97,2293,110,100,31,10345
44,isuzu,asia,MU-X,sedan,94,2337,111,78,29,6785
45,isuzu,asia,D-Max,sedan,95,1874,90,70,43,8917
46,isuzu,asia,D-Max,sedan,95,1909,90,70,43,8917
47,isuzu,asia,D-Max,hatch,96,2734,119,90,29,11048
48,jaguar,euro,xj,sedan,113,4066,258,176,19,32250
49,jaguar,euro,xf,sedan,113,4066,258,176,19,35550
